Tarif_Adi,Lemmatized_Metin
Çerkez Çorbası,aşurelik buğday tavuk baget haşlanmış mısır sıcak su tuz yoğurt yumurta sarısı un tere yağı kuru nane tavuk bagetleri tencereye koyun üzerine sıcak su dökün ve kaynamaya bırakın tavuk etleri piştikten sonra didikleyin aşurelik buğdayı haşlayın tavuk suyuna buğday ve haşlanmış mısır ekleyin terbiye için yoğurt yumurta sarısı ve un karıştırın terbiyeyi çorbaya ekleyin çorbayı kaynatın tuz ve tavuk etleri ekleyin naneli yağ karışımını çorbanın üzerine dökün
Lömbedek Tatlısı,yumurta sıvıyağ yoğurt vanilya kabartma tozu un şerbet için toz şeker şerbet için su derin bir kap içine adet yumurta kırın üzerine yarım çay bardağı sıvıyağ yarım çay bardağı yoğurt ve yarım paket vanilya koyun eliniz ile iyice karıştırın daha sonra paket kabartma tozu ve buçuk su bardağı arası unu azar azar ekleyin ele yapışmayan oldukça yumuşak bir hamur elde edene kadar yoğurun hazırladığınız hamuru dakika kadar dinlenmeye bırakın ardından hamurdan küçük ceviz büyüklüğünde parçalar alıp avuç içerisinde yuvarlayın yuvarladığınız hamurları aralıklı olacak şekilde orta boy bir fırın tepsisi içine yerleştirin önceden ısıtılmış derece fırına verin üzerleri kızarana kadar yaklaşık dakika pişirin diğer tarafta şerbet için orta boy bir kap içine su bardağı toz şeker ve su bardağından iki parmak fazla su koyun şeker eriyene kadar karıştırın lömbedek tatlısı piştikten sonra fırından çıkartın sıcak tatlının üzerine şerbeti kepçe yardımı ile dökün ardından tepsiyi tekrar sıcak fırın içine koyun dakika kadar fırın içinde bekletip çıkartın
Patlıcan Çullama,patlıcan soğan domates kırmızı kapya biber yeşil biber sarımsak domates salçası zeytinyağı tuz kırmızı pul biber maydanoz patlıcanları yağlı kağıt serili fırın tepsisine dizin patlıcanların patlamaması için üzerine bıçak ile birkaç yerinden delik açın patlıcanları önceden ısıtılmış derece fırına verip arada ters çevirerek közleyin közlenmiş patlıcanları fırından çıkartıp soğumaya bırakın soğuduktan sonra kabuklarını soyup iri küpler halinde doğrayın soğanı ay şeklinde ince ince doğrayın soğanı zeytinyağı ile kavurun kavrulan soğanların üzerine kırmızı biber yeşil biber ve sarımsak koyun biberleri soğanla birlikte dakika kadar ara ara karıştırarak pişirin domates salçası ekleyip hafifçe kokusu çıkana kadar kavurun domatesi ekleyip karıştırın domatesler hafifçe suyunu çekip yumuşayana kadar pişirin közlenmiş patlıcanları tuz ve kırmızı pul biber ekleyip karıştırın tencerenin kapağını kapatıp köz patlıcanları diğer sebzeler ile birlikte dakika kadar pişirin
Aside Tatlısı,un süt üzüm pekmezi tereyağı ceviz içi orta boy çukur bir kaba yemek kaşığı dolusu un koyun unun üzerine su bardağı suyu azar azar dökün unun topaklanmaması için tel çırpıcı yardımı ile iyice karıştırın daha sonra unlu su karışımına çay bardağı üzüm pekmezi ekleyin pekmezli karışımı tekrardan iyice karıştırın diğer tarafta küçük bir tencere içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine pekmezli karışımı dökün orta ateş üzerinde sürekli karıştırarak muhallebi kıvamına gelene kadar pişirin muhallebi kıvamına gelen aside tatlısını küçük kaplara paylaştırıp oda ısısında soğumaya bırakın ardından buzdolabında saat dinlenmeye bırakın hazırladığınız aside tatlısının üzerini iri dövülmüş ceviz ile süsleyerek servis edebilirsiniz
Ev Yapımı Köy Peyniri,günlük süt peynir mayası kaynar su tuz eczane ya da baharatçılardan peynir mayası temin edin litre günlük sütü tencereye döküp ocağa koyun sütü parmağınızı yakmayacak dereceye kadar ısıtın sütü ocaktan alın içine çay kaşığı peynir mayası ekleyin kaşık yardımı ile dakika kadar karıştırın tencerenin kapağını kapatın tencereyi kalın bir mutfak bezi ile sıkıca sarın saat mayalanmaya bırakın katılaşan sütü eliniz ile iyice parçalayarak karıştırın karışıma çay bardağı kaynar su ekleyip dakika kadar bekletin diğer yandan derin bir kabın üzerine tel süzgeci yerleştirin süzgecin üzerine tülbent serin karışımın suyunu tülbentin üzerine yavaşça dökün mayalanan peynir parçalarını tülbentin üzerine dökün peyniri bir süre içindeki fazla suyunu kendiliğinden salması için tülbentin içinde bekletin tülbenti dört ucundan tutup kaldırın tülbenti üst kısmından sıkarak suyunu süzün süzgecin üzerinde saat kadar bekletin peyniri tülbent içinden alıp kapalı bir kaba koyun üzerine az miktar tuz serpiştirin buzdolabında saat kadar dinlendirin daha sonra dilimleyerek servis edebilirsiniz
Karmaca,pırasa yumurta sıvı yağ yoğurt toz şeker tuz karabiber lor peyniri kabartma tozu mısır unu sap pırasayı güzelce temizleyip yıkayın bıçak yardımı ile halkalar halinde ince ince doğrayın geniş bir tava içine doğranmış pırasaları koyun üzerine yemek kaşığı zeytinyağı dökün pırasaları çok fazla öldürmeden hafifçe yumuşayana kadar pişirin ardından ocaktan alıp soğumaya bırakın diğer tarafta derin bir kaba adet yumurta kırıp çırpıcı yardımı ile iyice çırpın kaba su bardağı sıvı yağ su bardağı yoğurt yemek kaşığı toz şeker tatlı kaşığı tuz ve çay kaşığı karabiber koyup tekrar iyice karıştırın buçuk su bardağı lor peyniri de ekleyin kaba pişen pırasaları da koyun malzemeleri spatula yardımı ile iyice karıştırın son olarak kaba su bardağı mısır unu ve paket kabartma tozu koyun tüm malzemeleri spatula yardımı ile son kez karıştırın pırasalı mısır unlu harcın kıvamı kek kıvamından koyu bir kıvamda olacaktır eğer sıvı olursa az miktar un ekleyebilirsiniz hazırladığınız karmaca börek harcını yağlı kağıt serili büyük kare borcam içine koyun harcı spatula yardımı ile eşit bir şekilde yayın üzerine susam ya da çörek otu serpiştirin önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin pırasalı karmaca böreği piştikten sonra fırından çıkartıp ılımaya bırakın daha sonra dilimleyerek servis edebilirsiniz
Katmerli Çörek,ılık süt toz şeker sıvıyağ instant kuru maya yumurta akı tuz un yumuşak tereyağı yumurta sarısı katmerli çörek hamuru için derin bir kaba paket instant kuru maya ve yemek kaşığı toz şeker koyun ardından kaba su bardağı ılık süt dökün karıştırıp bu şekilde dakika bekletin daha sonra karışım üzerine su bardağı sıvı yağ adet yumurta akı sarıları çöreklerin üzeri için ayrılacak ve tatlı kaşığı tuz koyun ardından buçuk su bardağı unu azar azar ekleyin ele yapışmayan yumuşak bir hamur elde edene kadar yoğurun ardından hamurun üzerini örtüp saat kadar mayalanmaya bırakın mayalan hamuru tekrardan yoğurun eşit parçaya bölüp bezeler yapın ardından bezeyi tek tek hafifçe unlanmış tezgah üzerine koyun merdane yardımı ile pasta tabağı büyüklüğünde açın açılan bezelerin üzerine yumuşak tereyağından sürün tereyağı sürdükten sonra bezeleri üst üste yerleştirin en üsteki hamurun üzerine tereyağı sürmeyin sadece hafifçe un serpiştirin elde edilen katlı hamuru merdane yardımı ile yarım cm kalınlığında olacak şekilde açın daha sonra açtığınız hamuru rulo olacak şekilde sarın bıçak yardımı ile parmak genişliğinde kesin kesilen hamurların spiral tarafları yukarı bakacak şekilde çevirin üzerlerine hafifçe bastırıp genişletin yağlı kağıt serili fırın tepsisi içine dizin tepsi mayası içinde dakika bekletin hazırladığınız katmerli çöreklerin üzerine yumurta sarısı sürün önceden ısıtılmış derece fırına verin üzerleri kızarana kadar yaklaşık dakika pişirin
Lalanga,yumurta süt tuz kaşar peynir un orta boy derin bir kap içine adet yumurta kırın üzerine su bardağı süt dökün ardından çay kaşığı tuz ekleyip tel çırpıcı ile çırpın daha sonra karışıma su bardağı un koyun çırpıcı yardımı ile pürüzsüz bir kıvam alana kadar iyice çırpın son olarak karışıma çay bardağı rendelenmiş kaşar peynir ekleyin tüm malzemeleri son kez iyice karıştırın diğer tarafta orta genişlikte bir tava içine biraz sıvı yağ koyup kızdırın hamurdan er kaşık alıp kızgın yağ içine atın hamuru arkalı önlü pişirin lalanga piştikten sonra kağıt havlu serili servis tabağı üzerine alıp fazla yağını süzdürün
Mamzana,patlıcan kırmızı kapya biber yeşil biber domates maydanoz zeytinyağı kırmızı pul biber tuz yoğurt sarımsak kırmızı toz biber patlıcanları ve biberleri yıkayıp kurulayın patlıcanların ve biberlerin birkaç yerine bıçak ile delikler açıp fırın tepsisi içine koyun önceden ısıtılmış derece fırına verip yaklaşık dakika közleyin biberler patlıcanlardan önce közlenecektir bu yüzden biberleri közlendiği an fırından alın patlıcan ve biberler közlendikten sonra soğumaya bırakın soğuduktan sonra kabuklarını soyup bıçak yardımı ile küçük küçük kesin diğer tarafta adet orta boy domatesin kabuğunu soyup minik küpler halinde kesin adet yeşil biberin çekirdek kısmını temizleyip küçük küçük doğrayın tutam maydanozu da ince ince doğrayın ardından bir kap içine közleyip doğradığınız patlıcan ve kırmızı kapya biberleri koyun üzerine doğranmış domates yeşil biber ve maydanozu ekleyin hazırladığınız mamzana mezesinin üzerine damak tadınıza göre tuz çok az zeytinyağı ve biraz kırmızı pul biber ekleyip güzelce karıştırın son olarak küçük bir kaba su bardağı yoğurt koyun yoğurdun üzerine çok az tuz ve küçük diş rendelenmiş sarımsak ekleyip pürüzsüz bir kıvam alana kadar çırpın hazırladığınız mamzana mezesini servis tabağına koyun üzerine sarımsaklı yoğurdu dökün yoğurdun üzerine de biraz zeytinyağı ile kızdırdığınız kırmızı toz biberi gezdirip servis edebilirsiniz
Mengen Çorbası ve Pilavı,kalın bulgur soğan tereyağı un domates salçası biber salçası su et suyu tuz kuru nane kırmızı pulbiber bulguru ocak üzerine alıp iyice yumuşayana kadar haşlayın tereyağını eritin eriyen yağın üzerine adet küçük boy ince ince doğranmış soğan ekleyin soğanları dakika kadar güzelce kavurun kavrulan soğanın üzerine yemek kaşığı un koyun unun kokusu çıkana kadar sürekli karıştırarak kavurun daha sonra tencereye yemek kaşığı domates salçası ve yarım yemek kaşığı biber salçası ekleyin salçaların kokusu çıkana kadar kavurmaya devam edin salçaların kavrulmasına yakın tencereye damak tadınıza göre kuru nane ve kırmızı pul biber koyun salçayı baharatlar ile birlikte dakika kadar daha kavurun son olarak tencereye haşlanmış bulguru koyun bulguru koyduktan sonra su bardağı et suyu döküp güzelce karıştırın damak tadınıza göre tuz ekleyip kaynamaya bırakın kaynadıktan sonra ocağın altını kapatın
Mısır Ekmeği,mısır unu un kabartma tozu toz şeker tuz ılık su ılık süt sıvı yağ mısır ununu geniş ve derin bir kaba koyun mısır ununun orta kısmını havuz şeklinde açın orta kısmına un toz şeker ve tuz ekleyin ardından orta kısma sıvı yağ dökün ilık süt ekleyin kabartma tozu da koyup tüm harcı eliniz ile güzelce karıştırın son olarak mısır unlu harcın üzerine ılık suyu azar azar döküp eliniz ile yoğurun hamurun üzerini örtüp dakika kadar dinlenmeye bırakın küçük kare borcamın tabanını ve kenar kısımlarını sıvı yağ ile iyice yağlayın mısır ekmeği hamurunu spatula yardımı ile kabın içine döküp eşit bir şekilde yayın mısır ekmeğine son şeklini vermek için elinizi hafifçe ıslatıp hamurun üzerini düzeltin son olarak sütlü mısır ekmeği hamurunu bıçak yardımı ile istediğiniz büyüklükte dilimleyin fırını alt üst ayarda fansız olarak derecede ısıtın fırın ısındıktan sonra mısır ekmeğini fırına verip üzeri güzelce kızarana kadar yaklaşık dakika pişirin
Şaraşura,taze fasulye soğan patlıcan kabak patates sivri biber domates domates salçası zeytinyağı sıcak su tuz taze fasulyeyi temizleyip parçaya bölün kabak patlıcan ve patatesi küpler halinde kesin sivri biberin çekirdek kısmını temizleyip orta kalınlıkta doğrayın domates ve soğanın kabuğunu soyup ince ince doğrayın geniş bir tencere içine zeytinyağı dökün yağın üzerine doğranmış soğanı ekleyip dakika kavurun kavrulan soğanın üzerine domates salçası koyup dakika sürekli karıştırarak kavurun tencereye doğranmış kabak patates biber ve patlıcanı koyup karıştırın taze fasulyeleri de ekleyip tüm sebzeleri güzelce karıştırın sebzelerin üzerine doğranmış domatesi güzelce yayın damak tadınıza göre tuz ve su bardağı kadar sıcak su ekleyin tencerenin kapağını kapatıp kaynamaya bırakın kaynadıktan sonra kısık ateş üzerinde taze fasulyeler yumuşayana kadar dakika pişirin
Tavuklu Lebeniye Çorbası,kalçalı tavuk budu soğan haşlanmış nohut pirinç zeytinyağı su tuz terbiye yoğurt yumurta sarısı un tereyağı zeytinyağı kuru nane tavuk budu ve soğanı kavurun tavuk budunu suyunun içinden alın ve kenarda ılımaya bırakın pirinçleri kaynar suya ekleyin ve yumuşayana kadar pişirin tavuk etini küçük parçalara ayırın ve çorbadaki malzemeleri karıştırın terbiyeyi hazırlayın ve çorbanın içine dökün yoğurtlu terbiyeyi azar azar çorbanın içine dökün ve karıştırın naneli yağ karışımını çorbanın üzerine dökün ve servis edin
Van Cacığı,salatalık süzme yoğurt dereotu maydanoz taze soğan sivri biber tuz tere yağı salatalıkların kabuğunu soyup uzunlamasına ortadan ikiye kesin salatalıkları olabildiğince minik küpler şeklinde doğrayın dereotu maydanoz taze soğan ve sivri biberi ince ince doğrayın salatalıkları yeşillikleri süzme yoğurt ve tuz ile karıştırın cacığı yayvan bir tabak içine koyup tereyağını küçük küçük parçalayarak yerleştirin
Yufkadan Fındık Lahmacun,yufka kıyma soğan domates sivri biber sarıkmsak domates salçası biber salçası tuz karabiber kırmızı pul biber su lahmacunun iç harcı için geniş bir kaba gr kıymayı koyun üzerine adet orta boy soğanı ve diş sarımsağı rendeleyin doğranmış domates ve biberleri ekleyin yemek kaşığı domates salçası yarım yemek kaşığı biber salçası tuz karabiber kırmızı pul biber ve yarım çay bardağı kadar su koyun tüm malzemeleri iyice karştırın karışım rahatça sürülebilecek kıvamda olmalı daha sonra yufkanın sosu için küçük bir kaba yarım çay bardağı su ve yarım çay bardağı sıvıyağ ekleyip karıştırın tezgah üzerine yufkanın birini serin yufkanın her yerine hazırladığınız yağlı su karışımından sürün diğer yufkayı da birinci yufkanın üzerine serin i kinci yufkanın üzerine birşey sürmüyoruz yufkanın üzerine yuvarlak bir kalıp koyun kuvvetlice bastırıp döndürerek yuvarlak parçalar çıkartın yufkalı parçaları yağlı kağıt serili fırın tepsisi içine dizin üzerlerine eliniz ile hazırladığınız kıymalı harçtan sürün önceden ısıtılmış derece fırına verin yaklaşık dakika pişirin
Arnavut Paçası,yumurta yoğurt un sirke sarımsak su tuz tereayağı kırmızı toz biber sucuk tüm malzemeleri bir kap içine koyun malzemeleri pürüzsüz bir kıvam alana kadar çırpın karışımı bir tava içine dökün orta ateş üzerinde pişirin koyulaşana kadar karıştırın sucukları doğrayıp yağ ile birlikte kızartın arnavut paçasının üzerine sucukları dökün
Badem Tatlısı,tereyağı yumurta sıvı yağ toz şeker irmik hindistan cevizi vanilya kabartma tozu un su toz şeker limon suyu fındık kırığı gr oda sıcaklığındaki tereyağını derin bir kap içine koyun üzerine yarım çay bardağı sıvı yağ ve yemek kaşığı toz şeker ekleyip tel çırpıcı yardımı ile iyice çırpın daha sonra karışım üzerine adet yumurta kırın yemek kaşığı irmik yarım çay bardağı hindistan cevizi paket kabartma tozu ve paket vanilya koyun son olarak buçuk su bardağı unu azar azar ekleyin ele yapışmayan yumuşak bir hamur elde edene kadar yoğurun hazırladığınız karışımdan ceviz büyüklüğüne yakın parçalar alın elinize alıp badem şeklini verin yağlanmış fırın tepsisi içine dizin bıçak yardımı ile orta kısımlarına kesikler atıp hafifçe açın önceden ısıtılmış derece fırına verin üzerleri iyice kızarana kadar yaklaşık dakika pişirin badem tatlısı piştikten sonra fırından çıkartıp dakika kadar ilk sıcaklığının gitmesini sağlayın ardından üzerine soğuk şerbeti dökün şerbeti hafifçe çekene kadar bekletin kıvamını kendi damak tadınıza göre ayarlayabilirsiniz tatlı sıcak şerbet soğuk olacak hazırladığınız badem tatlısının üzerinde açılan boşlukları fındık kırığı ya da yeşil toz fıstık ile süsleyerek servis edebilirsiniz
Bezirgan Salatası,soğan domates salçası ceviz maydanoz taze nane kimyon sumak kırmızı toz biber tuz adet orta boy soğanı çok kalın olmayacak şekilde ay şeklinde doğrayıp bir kaba koyun soğanın üzerine biraz tuz serpiştirip kısa bir süre eliniz ile ovuşturarak yumuşamalarını sağlayın daha sonra soğanların üzerine tatlı kaşığı domates salçası koyun eliniz ile salçayı soğanlara güzelce yedirin ardından kaba yarım demet ince ince doğranmış maydanoz tutam ince ince doğranmış taze nane yarım su bardağı orta dövülmüş ceviz yarım çay kaşığı kimyon tatlı kaşığı sumak çay kaşığı kırmızı toz biber ve az miktar tuz koyun taze nane yerine kuru nane de kullanabilirsiniz tüm salata malzemelerini eliniz ya da kaşık yardımı ile güzelce karıştırın
Çerkez Tavuğu,tavuk göğsü ceviz içi bayat ekmek içi sarımsak tavuk suyu tuz kimyon tere yağı zeytinyağı kırmızı pulbiber orta boy derin bir tencere içine yaklaşık gr kadar tavuk göğsünü koyun üzerine parmak geçecek kadar su koyun tavuk etlerini yumuşayana kadar haşlayın haşlanan tavuk etlerini tencereden alıp ılımaya bırakın daha sonra göz kararı kadar cevizi mutfak robotunun içine koyun cevizleri mutfak robotundan iyice geçirin ardından ılıyan tavuk etlerini eliniz ile küçük küçük parçalayıp mutfak robotunun içine koyun tavuk etlerini de mutfak robotundan iyice geçirin diğer tarafta başka bir kap içine buçuk su bardağı tavuğun haşlama suyundan koyun haşlama suyu soğuk olacak i çine dilim bayat ekmek içi koyun ardından buçuk su bardağı rondodan çekilmiş ceviz içi ekleyin daha sonra diş dövülmüş sarımsak tuz ve kimyon ekleyin karışımı iyice karıştırın bu karışımın üzerine mutfak robotundan geçirdiğiniz tavuk etlerini koyun çerkez tavuğunu iyice karıştırın hazırladığınız çerkez tavuğunu servis tabağına koyun üzeri için küçük bir sos tavası içine yemek kaşığı tereyağı yemek kaşığı zeytinyağı ve tatlı kaşığı kırmızı pul biber koyup kızdırın çerkez tavuğunun üzerine kızdırdığınız yağı gezdirip servis edebilirsiniz
Nevzine Tatlısı,tereyağı sıvı yağ süt tahin sirke kabartma tozu un ceviz şerbet su toz şeker limon suyu dut ya da üzüm pekmezi yeşil toz fıstık tahin şerbet hazır olduğunda şerbeti ocaktan alıp üzerine yarım su bardağı üzüm ya da dut pekmezi ekleyin şerbet ile pekmezi kaşık yardımı ile güzelce karıştırın ardından oda ısısında soğumaya bırakın nevzine tatlısının hamuru için derin bir kap içine gr oda sıcaklığındaki tereyağı koyun üzerine çay bardağı sıvı yağ çay bardağı süt çay bardağı tahin ve yemek kaşığı sirke ekleyin tüm malzemeleri tel çırpıcı yardımı ile iyice karıştırın üzerine paket kabartma tozu ve su bardağına yakın unu azar azar ekleyin tüm harcı orta kıvamda yumuşak bir hamur elde edene kadar yoğurun son olarak hamurun üzerine su bardağı dövülmüş ceviz ekleyin cevizin hamura iyice işlemesini sağlayacak şekilde hamuru tekrar yoğurun daha kıyır kıyır bir tatlı istiyorsanız hamurun un miktarını biraz daha arttırabilirsiniz hazırladığınız hamuru yağlanmış büyük kare borcam kalıbın tabanına eşit bir şekilde yayın üzerine çatal ile bastırarak çizikler atın önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin nevzine tatlısı piştikten sonra fırından çıkartıp dakika ılımaya bırakın ardından istediğiniz büyüklükte dilimleyin üzerine hazırladığınız pekmezli soğuk şerbeti azar azar dökün nevzine tatlısının şerbeti diğer tatlılara göre biraz daha geç çeker tatlı şerbetini çektikten sonra servis tabağına alın nevzine tatlısının üzerini biraz tahin ve yeşil toz fıstık ile süsleyerek servis edebilirsiniz
Sıkıcık Çorbası,köftelik ince bulgur toz tarhana sıcak su un tuz kuru nane soğan tereyağı zeytinyağı domates salçası sıcak su yoğurt kırmızı toz biber bulgurun üzerine buçuk su bardağı sıcak su döküp karıştırın bulgurun üzerini kapatıp şişene kadar dakika kadar bekletin ardından şişen bulguru bir kaşık yardımı ile güzelce karıştırın bulgurun üzerine yarım su bardağı tarhana çay kaşığı dolusu tuz tatlı kaşığı kuru nane ve yemek kaşığı un ekleyin köfteyi yaklaşık dakika kadar iyice yoğurun i stenilen kıvama gelen köfte harcından küçük parçalar alın elinizde güzelce yuvarlayıp bir tepsi içine koyun köfteyi yuvarlama esnasında elinizde hafifçe yapışmalar olacaktır diğer tarafta orta boy derin bir tencere içine yemek kaşığı tereyağı ve yemek kaşığı zeytinyağı koyup ısıtın yağın üzerine adet ince ince doğranmış soğan ekleyin soğanları sürekli karıştırarak yumuşayana kadar kavurun kavrulan soğanın üzerine yemek kaşığı domates salçası koyun salçanın kokusu çıkana kadar kavurmaya devam edin daha sonra tencereye buçuk su bardağı sıcak su dökün damak tadınıza göre tuz ve tatlı kaşığı kuru nane ekleyin çorbayı güzelce karıştırıp kaynamaya bırakın ardından kaynayan çorba suyuna sıkıcık köftelerini ekleyin ezmeden hafifçe kere karıştırın köfteleri orta kısık ateş üzerinde yaklaşık dakika kadar pişirin fazla dağılmamalarına dikkat edin hazırladığınız sıkıcık çorbasını dakika kadar dinlenmeye bırakın ardından servis tabağına koyup üzerine çırpılmış yoğurdu güzelce dökün yoğurdun üzerine de zeytinyağında kızdırılmış kırmızı toz biberi döküp servis edebilirsiniz
Yalancı Cezerye,havuç pötibör bisküvi tere yağı toz şeker su pekmez tarçın hindistan cevizi dövülmüş ceviz havuçları soyup rendeleyin tereyağını eritip havuçları dakika kavurun şeker ve su ekleyip havuçlar yumuşayana kadar pişirin soğuyunca bisküvi hindistan cevizi ceviz tarçın ve pekmez ekleyip yoğurun küçük kare borcama yayın ve dakika buzdolabında bekletin dilimleyip hindistan cevizine bulayın
Ajvar Sos,patlıcan kırmızı kapya biber domates soğan sarımsak zeytinyağı kırmızı pul biber kırmızı toz biber tuz patlıcan ve biberleri yağlı kağıt serili fırın tepsisi içine dizin patlıcanların ve biberlerin patlamaması için üzerine bıçak ile birkaç yerinden delik açın patlıcan ve biberleri önceden ısıtılmış derece fırına verip arada ters çevirerek közleyin soğuduktan sonra kabuklarını soyun biberlerin çekirdek kısımlarını temizleyip bıçak yardımı ile ince ince kıyın domatesleri mutfak robotundan iyice geçirin yağın üzerine adet orta boy doğranmış soğanı ekleyin soğanı dakika kadar kavurun kavrulan soğanın üzerine robottan geçirdiğiniz domatesleri ve büyük diş küçük küçük doğranmış sarımsağı ekleyip karıştırın domatesler suyunu çekene kadar ara ara karıştırarak pişirin suyunu çeken domateslerin üzerine közlenmiş patlıcan ve biberleri koyun damak tadınıza göre tuz kırmızı pul biber ve kırmızı toz biber ekleyin tüm sos malzemelerini dakika kadar daha pişirin sosun kıvamı sulu olmayacaktır hazırladığınız ajvar sosu ocak üzerinden alıp mutfak robotu içine koyun sosu mutfak robotundan iyice geçirip parçalayın
Anadolu Çorbası,yeşil mercimek kırmızı mercimek bulgur pirinç buğday sıcak su tuz yoğurt yumurta sarısı un kuru soğan tere yağı zeytinyağı kuru nane kimyon kırmızı pul biber karabiber tencereye bakliyatları koyun üzerine sıcak su dökün kaynamaya bırakın kaynadıktan sonra tencerenin kapağını kapatıp kısık ateş üzerinde bakliyatlar yumuşayana kadar yaklaşık dakika kadar pişirin çorbanın terbiyesi için yoğurt yumurta sarısı ve unu karıştırın terbiyeyi çorbanın içine azar azar döküp karıştırın çorbanın üzeri için tereyağı ve zeytinyağını ısıtın üzerine doğranmış kuru soğan koyun kavurun kavrulan soğanın üzerine baharatları ekleyin kızdırın baharatlı soğanlı sosu çorbanın üzerine dökün karıştırın
Belen Tava,koyun ya da dana eti yeşil biber kırmızı kapya biber domates soğan sarımsak dolusudomates salçası zeytinyağı ılık su tereyağı tuz kekik karabiber kuşbaşından küçük olacak şekilde dana etini doğrayın yeşil biber ve kırmızı kapya biberin çekirdek kısmını temizleyip çok küçük olmayacak şekilde doğrayın soğanı ve sarımsağı küçük küçük doğrayın domatesin kabuğunu soyup küçük küpler halinde doğrayın doğradığınız etleri yuvarlak borcam fırın kabının içine koyun etlerin üzerine domates salçası doğradığınız sarımsakları zeytinyağı tuz karabiber ve kekik ekleyin etleri eliniz ile güzelce harmanlayın doğradığınız biber soğan ve domatesleri ekleyin son olarak ılık su dökün tüm malzemeyi tekrar eliniz ile güzelce harmanlayın eliniz ile et ve sebzelerin üzerine hafifçe bastırıp yayın üzerine tereyağını küçük parçalar halinde koyun kabın üzerini yağlı kağıt ile örtün önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin belen tava piştikten sonra üzerindeki yağlı kağıdı alıp kere karıştırın tekrar fırına verip hafifçe üzeri kızarana kadar pişirmeye devam edin belen tava piştikten sonra servis tabağına alıp sıcak olarak servis edebilirsiniz
Bisküvili Parfe,krem şanti tozu soğuk süt oreo ya da negro bisküvi damla çikolata fındık ya da ceviz vanilya krem şanti tozunu derin bir kap içine koyun üzerine soğuk süt dökün koyu bir kıvam alana kadar mikser ile çırpın paket vanilya ekleyip kısa bir süre daha çırpın bisküvileri eliniz ile küçük parçalara bölün krem şanti içine böldüğünüz bisküvileri yarım su bardağı damla çikolata ve yarım su bardağı dövülmüş fındıkları ekleyin tüm malzemeleri iyice karıştırın kalıbın içine buzdolabı poşetini ikiye bölüp serin hazırladığınız bisküvili parfe karışımını kalıbın içine dökün üzerine spatula ya da kaşık yardımı ile hafifçe bastırarak düzeltin parfenin üzerini streç film ya da buzdolabı poşeti ile örtüp buzlukta saat kadar bekletin servis yapmadan dk önce buzluktan çıkartın
Çeşmi Nigar Çorbası,kırmızı mercimek kuru soğan tere yağı sıvı yağ un su tuz yumurta sarısı süt limon suyu domates salçası nane kırmızı pul biber kırmızı mercimeği yıkayıp orta boy bir tencere içine alın üzerine su bardağı sıcak su döküp yumuşayana kadar haşlayın diğer tarafta başka derin bir tencere içine yemek kaşığı tereyağı ve yemek kaşığı sıvı yağ koyun üzerine adet ince ince doğranmış soğan ekleyip dakika kadar kavurun ardından yemek kaşığı un koyup dakika kadar daha kavurun daha sonra haşladığınız mercimeği suyu ile birlikte tencere içine koyun tuz ekleyip karıştırın dakika kadar orta ateş üzerinde kaynatın eğer mercimeğin suyu yok ise mercimeklerin üzerini geçecek şekilde tekrar su koyabilirsiniz kaynama işlemi bittikten sonra mercimeği iyice blenderdan geçirin çorbanın kıvamı koyu ise biraz daha su ekleyip kıvamı açabilirsiniz çorbanın terbiyesi için bir kase içine adet yumurta sarısı ve yarım limon suyu koyun üzerine su bardağı süt döküp iyice çırpın hazırladığınız terbiyeyi azar azar çorbaya ekleyip hızlı bir şekilde karıştırın taşım daha kaynatıp ocağın altını kapatın sosu için küçük bir tava içine yemek kaşığı tereyağı yemek kaşığı sıvı yağ ve tatlı kaşığı domates salçası koyup biraz kavurun ardından çay kaşığı nane ve çay kaşığı kırmızı pul biber ekleyip yakmadan çok az daha kavurun hazırladığınız çeşmi nigar çorbasının üzerine salçalı sosu döküp servis edebilirsiniz
