Tarif_Adi,Kategori,Malzemeler,Yapilis_Adimlari
Hidiv Çorbası,çorba,patates kabak havuç zeytinyağı sıcak su tuz karabiber tereyağı un soğuk su yumurta sarısı süt dereotu,"2 adet orta boy patates, 2 adet orta boy kabak ve 2 adet orta boy havucun kabuğunu soyup, güzelce yıkayın. Sebzeleri rendeleyin. Orta boy derin bir tencere içine 6 yemek kaşığı zeytinyağı döküp, ısıtın. Yağın üzerine rendelediğiniz sebzeleri koyun. Sebzeleri 5 dakika kadar sürekli karıştırarak, kavurun. Kavrulan sebzelerin üzerine 1 litre sıcak su döküp, kaynamaya bırakın. Kaynadıktan sonra orta kısık ateş üzerinde sebzeler iyice yumuşayana kadar ara ara karıştırarak, pişirin. Diğer tarafta çorbanın meyanesi için; bir sos tavası içine 1 yemek kaşığı tereyağı koyup, eritin. Eriyen yağın üzerine 2 yemek kaşığı un ekleyin. Unun hafifçe kokusu çıkana kadar kavurun. Kavrulan unun üzerine 1 su bardağı soğuk su dökün. Bir yandan da çırpıcı yardımı ile iyice karıştırıp, 1 taşım kaynatın. Ardından hazırladığınız meyaneyi çorbanın içine dökün. Çorbanız kaynayana kadar sürekli karıştırın. Daha sonra çorbanızın altını kısın. Ardından çorbayı pürüzsüz bir kıvam alması için ince tel süzgeçten geçirin. Arzu ederseniz tel süzgeçten geçirmek yerine hızlıca blender ile de çekebilirsiniz. Daha sonra çorbanın terbiyesi için; bir kase içine 1 adet yumurta sarısı koyun. Üzerine 1 su bardağı süt döküp, çırpıcı yardımı ile iyice karıştırın. Ardından çorba suyundan 1-2 kepçe alıp, terbiyenin içine dökün. Terbiyenin kesilmemesi için hızlı bir şekilde karıştırıp, ılımasını sağlayın. Daha sonra terbiyeli karışımı çorbanın içine döküp, bir yandan da çorbayı hızlı bir şekilde karıştırın. Çorbayı kaynayana kadar karıştırmaya devam edin. Çorbanız kaynadıktan sonra damak tadınıza göre tuz ve biraz karabiber ekleyip, karıştırın. Ardından ocağın altını kapatın. Hazırladığınız hidiv çorbasının üzerine 1 tutam ince ince doğranmış dereotu serpiştirip, sıcak olarak servis edebilirsiniz."
Karamelize Soğanlı Çorba,çorba,soğan un zeytinyağı tereyağı süt su tuz karabiber,"Soğanları ay şeklinde ince ince doğrayın. Tencere içine zeytinyağı döküp, ısıtın. Soğanları ekleyin ve karamelize olana kadar sürekli karıştırarak, pişirin. Tereyağı ekleyip, 1 dakika kadar daha sürekli karıştırarak, pişirmeye devam edin. Un koyun ve hafif kokusu çıkana kadar kavurmaya devam edin. Su azar azar döküp, topaklanma olmaması için hızlı bir şekilde karıştırın. Çorba suyu kaynayana kadar karıştırmaya devam edin. Tuz, karabiber ve süt koyun. 5 dakika kadar daha kaynatın."
Kıymalı Erişte Çorbası,çorba,eriste kıyma tereyağı sıvı yağ soğan domates salçası sıcak su tuz yoğurt yumurta sarısı un kuru nane,"Derin bir tencere içine 1 yemek kaşığı tereyağı ve 1 yemek kaşığı sıvı yağ koyup, ısıtın. Isınan yağın üzerine 1 adet küçük boy ince ince doğranmış soğan ekleyin. Soğanı 3 dakika kadar kavurun. Daha sonra kavrulan soğanın üzerine 3-4 yemek kaşığı kavrulmuş kıyma koyup, 3-4 kere karıştırın. Ardından tencereye 1 yemek kaşığı domates salçası ekleyin. Salçanın hafifçe kokusu çıkana kadar kavurun. Salçayı kavurduktan sonra tencerenin içine 6 su bardağı sıcak su döküp, karıştırın. Ardından kaynamaya bırakın. Çorba suyu kaynadıktan sonra içine 1 çay bardağı erişte koyup, karıştırın. Erişteler yumuşayana kadar pişirin. Diğer tarafta çorbanın terbiyesi için; bir kap içine 1 su bardağı yoğurt, 1 adet yumurta sarısı ve 1 yemek kaşığı un ekleyin. Terbiyeyi pürüzsüz bir kıvam alana kadar çırpıcı ile iyice karıştırın. Ardından kaynayan çorba suyundan 1 kepçe alıp, terbiyeli karışımın içine dökün. Terbiyeyi hızlı bir şekilde karıştırıp, ılımasını sağlayın. Yoğurtlu terbiyeyi azar azar çorbanın içine döküp, kesilmemesi için hızlı bir şekilde karıştırın. Daha sonra çorbayı kaynayana kadar karıştırmaya devam edin. Çorbanız kaynadıktan sonra üzerine damak tadınıza göre tuz ve kuru nane ekleyip, karıştırın."
Kolay Domates Çorbası,çorba,domates püresi domates salçası tere yağı un su süt tuz karabiber,Tencereye tereyağını koyup eritin. Eriyen yağın üzerine un koyun. Unun kokusu çıkana kadar kavurun. Kavrulan unun üzerine domates salçası ekleyin. Salçanın da kokusu çıkana kadar kavurun. Ardından tencereye domates püresi koyup karıştırın. Daha sonra karışımın üzerine su döküp karıştırın. Domates çorbası kaynayana kadar ara ara karıştırarak pişirin. Son olarak kaynayan domates çorbası içine süt döküp karıştırın. Damak tadınıza göre tuz ve karabiber ekleyin. 1-2 taşım kaynatıp ocağın altını kapatın.
Kremasız Mantar Çorbası,çorba,kültür mantarı soğan sarımsak tereyağı zeytinyağı un süt suy tuz karabiber,"Mantarı temizleyip, çok küçük olmayacak şekilde dilimleyin. Soğanı ve sarımsağı ince ince doğrayın. Tereyağı ve zeytinyağı koyup, ısıtın. Isınan yağın üzerine doğranmış soğanları ekleyin. Soğanları hafifçe yumuşayana kadar sürekli karıştırarak, kavurun. Kavrulan soğanların üzerine dilimlediğiniz mantarları ve 1 diş ince ince doğranmış sarımsak koyun. Mantarlar suyunu salıp, hafifçe çekene kadar orta ateş üzerinde sürekli karıştırarak, kavurun. Kavurduğunuz mantarların üzerine 2 buçuk yemek kaşığı un ekleyin. Mantarları un ile birlikte karıştırarak, bir süre daha kavurmaya devam edin. Tencereye 3 su bardağı soğuk suyu azar azar ekleyin. Topaklanma olmaması için bir yandan da çorbayı hızlı bir şekilde karıştırın. Ara ara karıştırarak, kaynamaya bırakın. Çorbanız kaynadıktan sonra içine 1 su bardağı süt döküp, karıştırın. Son olarak damak tadınıza göre tuz ve karabiber koyup, 1-2 taşım kaynatın. Çorbanızın kıvamı koyu ise üzerine azar azar sıcak su döküp, kıvamını ayarlayabilirsiniz. Çorbanızın piştikten sonra ocak üzerinden alıp, 5 dakika kadar dinlenmeye bırakın. Daha sonra sıcak olarak servis edebilirsiniz."
Lokanta Usulü Yayla Çorbası,çorba,pirinç yoğurt su yumurta sarısı un tuz tereayağı kuru nane,"Pirinçleri yıkayın ve 5.5 su bardağı su ile haşlayın. Yoğurt, yumurta sarısı ve unu karıştırın. Karışıma 2 kepçe kaynar çorba suyu ekleyin. Karışımı çorba suyuna azar azar dökün ve karıştırın. Tuz ekleyin ve 2-3 dakika kaynatın. Üzerine tereyağı ve kuru nane karışımı dökün."
Mantarlı Kuskuslu Tavuk Çorbası,çorba,tavuk budu kültür mantarı sıvı yağ un tavuk suyu kuskus süt maydanoz tuz karabiber,"Derin bir tencere içine 1 adet büyük boy tavuk budu koyun. Üzerine 6 su bardağı su döküp, kaynamaya bırakın. Kaynadıktan sonra kısık ateş üzerinde yumuşayana kadar pişirin. Daha sonra haşladığınız tavuk budunu suyundan alıp, küçük küçük parçalara ayırın. Suyunu da çorbada kullanmak üzere ayırın. Diğer tarafta 12 adet kültür mantarını temizleyip, çok küçük olmayacak şekilde doğrayın. Derin bir tencere içine 3 yemek kaşığı sıvı yağ döküp, ısıtın. Yağın üzerine doğradığınız mantarları ekleyin. Mantarlar suyunu salıp, hafifçe çekene kadar kavurun. Ardından kavrulan mantarların üzerine 1 buçuk yemek kaşığı un koyun. Unu da 1 dakika kavurun. Daha sonra başta haşladığınız tavuğun suyundan 5 su bardağını alıp, tencereye azar azar döküp, topaklanma olmaması için hızlı bir şekilde karıştırın. Ara ara karıştırarak kaynamaya bırakın. Çorbanın suyu kaynadıktan sonra üzerine yarım çay bardağı kadar kuskus koyun. Güzelce karıştırıp, kuskuslar yumuşayana kadar pişirin. Kuskuslar piştikten sonra küçük küçük parçalara ayırdığınız tavuk etlerini de çorbaya ekleyip, 3-4 kere karıştırın. Daha sonra çorbaya 1 buçuk su bardağı süt döküp, karıştırın. Damak tadınıza göre tuz ve karabiber de ekleyin. Güzelce karıştırıp, kaynamaya bırakın. Ardından ocağın altını kapatın. Eğer çorbanızın kıvamı yoğun ise üzerine azar azar tavuk suyu, su  ya da süt döküp, kıvamını açabilirsiniz. Hazırladığınız mantarlı kuskuslu tavuk çorbasının üzerine 1-2 tutam ince ince doğranmış maydanoz ekleyip, karıştırın. 10 dakika kadar dinlenmeye bırakın. Daha sonra sıcak olarak servis edebilirsiniz."
Sakala Çarpan Çorbası,çorba,haşlanmış yeşil mercimek erişte soğan domates salçası tereyağ zeytinyağı su tuz karabiber nane,"Orta boy derin bir tencere içine 2 yemek kaşığı tereyağı ve 1 yemek kaşığı zeytinyağı koyun. Tereyağı eriyince üzerine 1 adet orta boy ince ince doğranmış soğan ekleyip, 4-5 dakika kadar kavurun. Daha sonra kavrulan soğanın üzerine 1 yemek kaşığı dolusu domates salçası ekleyin. Salçanın hafifçe kokusu çıkana kadar kavurun. Salçayı kavurduktan sonra üzerine 1 su bardağı haşlanmış yeşil mercimek koyup, 3-4 kere karıştırın. Ardından tencereye 6 su bardağı sıcak su ya da et suyu döküp, kaynamaya bırakın. Çorba kaynadıktan sonra içine 1 su bardağı erişte koyup, karıştırın. Erişteler yumuşayana kadar pişirin. Son olarak erişteler piştikten sonra damak tadınıza göre tuz, kuru nane ve karabiber ekleyin. Çorbayı karıştırıp, 1-2 taşım kaynatın."
Sarımsaklı Un Çorbası,çorba,un tereyağı zeytinyağı sarımsak su tuz karabiber kırmızı toz biber kuru nane sirke,"Orta boy derin bir tencere içine 1 yemek kaşığı tereyağı ve 2 yemek kaşığı zeytinyağı koyup, ısıtın. Isınan yağın üzerine 4 yemek kaşığı un ekleyin. Çırpıcı yardımı ile unu yağa güzelce yedirin. Ardından unun kokusu çıkıp, hafifçe kahverengi olana kadar sürekli karıştırarak, kavurun. Daha sonra kavrulan unun üzerine 6 su bardağı suyu azar azar dökün. Bir yandan da topaklanma olmaması için çırpıcı yardımı ile hızlı bir şekilde karıştırın. Çorbayı sürekli karıştırarak, kaynamasını sağlayın. Çorbanız iyice kaynadıktan sonra içine 2 diş dövülmüş sarımsak, damak tadınıza göre tuz ve karabiber koyun. Sarımsaklı un çorbasını güzelce karıştırın. Orta kısık ateş üzerinde 30-35 saniye kadar daha kaynatıp ocak üzerinden alın. Çorbanın üzeri için; küçük bir tava içine 1 yemek kaşığı tereyağı koyup, eritin. Eriyen yağın üzerine 1 çay kaşığı kırmızı toz biber ekleyip, hafifçe kızdırın. Hazırladığınız sarımsaklı un çorbasını servis tabağına koyun. Üzerine kızdırdığınız tereyağlı kırmızı toz biber karışımından döküp, biraz kuru nane serpiştirin. Ardından servis edebilirsiniz."
Sebzeli Mantar Çorbası,çorba,kültür mantarı havuç kırmızı kapya biber soğan sarımsak dereotu un tereyağı zeytinyağı ılık su süt tuz karabiber,"1 adet orta boy havuç ve 1 adet orta boy kırmızı kapya biberi minik küpler şeklinde doğrayın. 1 adet küçük boy soğan, 1 diş sarımsak ve 1 tutam dereotunu ince ince doğrayın. Daha sonra 200-250 gr kültür mantarını temizleyip, çok küçük olmayacak şekilde doğrayın. Orta boy derin bir tencere içine 1 yemek kaşığı tereyağı ve 2 yemek kaşığı zeytinyağı koyun. Yağın üzerine önce doğranmış soğan ve sarımsağı koyup, 2 dakika kavurun. Ardından doğranmış havucu koyup, 2-3 dakika kadar kavurun. Daha sonra doğranmış kapya biberi ekleyin. Kapya biberi de 30 saniye kadar daha kavurun. Son olarak doğranmış mantarları koyup, 2 dakika sürekli karıştırarak kavurmaya devam edin. Daha sonra sebzelerin üzerine 1 yemek kaşığı tepeleme un ekleyin. Unu da sebzeler ile birlikte 1 dakika kadar daha kavurun. Ardından sebzelerin üzerine 4 su bardağı ılık su döküp, sürekli karıştırın. Sebzeler yumuşayana kadar ara ara karıştırarak pişirin. Sebzeler piştikten sonra üzerlerine 1 su bardağı süt dökün. Ardından damak tadınıza göre tuz ve karabiber ekleyin. Güzelce karıştırıp, 1 taşım kaynatın. Çorbanız kaynadıktan sonra üzerine ince ince doğranmış dereotu serpiştirip, karıştırın. Ocaktan alıp, 5-10 dakika kadar dinlenmeye bırakın."
Terbiyeli Tavuk Çorbası,çorba,tavuk but soğan tel şehriye su tuz karabiber yumurta sarısı limon suyu un çay bardağı su,"Derin bir tencere içine 2 adet tavuk budu koyun. 1 adet soğanın kabuğunu soyup, ortadan ikiye bölün. Soğanları tavuk butlarının arasına koyun. Üzerlerine 1 buçuk litre su dökün. Ocak üzerine alıp, tavuk butlarını yumuşayana kadar haşlayın. Daha sonra haşlanan tavuk butlarını suyundan alın. Bir tabak içine koyup, soğumaya bırakın. Ardından tavuk etlerini kemiklerinden çıkartıp, küçük küçük parçalara ayırın. Tavuk suyunun içindeki soğanı da çıkartıp, atın. Tavuk suyunu tekrar ocak üzerine alıp, kaynamaya bırakın. Çorbanın terbiyesi için; küçük bir kap içine 1 adet yumurta sarısı, 1 yemek kaşığı limon suyu ve 1 yemek kaşığı un koyun. Üzerine 1 çay bardağı su koyup, terbiyeyi iyice çırpın. Diğer tarafta kaynayan çorba suyunun içine 3 yemek kaşığı tel şehriye ekleyip, 10 dakika kadar pişmeye bırakın. Daha sonra çorba suyundan 1 kepçe alın. Hazırladığınız terbiyenin içine ekleyip, iyice karıştırarak ılımasını sağlayın. Terbiyeyi, çorba suyuna azar azar döküp, hızlı bir şekilde karıştırın. Orta ateş üzerinde 2-3 dakika kadar kaynamaya bırakın. Son olarak çorbanın içine tavuk etlerini, tuz ve karabiber koyup, karıştırın. Terbiyeli tavuk çorbasını 1-2 taşım daha kaynatıp, ocağın altını kapatın."
Topçata Çorbası,çorba,bulgur (iri) bulgur (ince) sıcak su tuz kıyma kimyon yoğurt yumurta sarısı maydanoz,Köfte harcını hazırlayın. Köfteleri şekillendirin ve bulgura bulayın. Çorba suyunu kaynatın ve köfteleri ekleyin. Bulgurları ekleyin ve pişirin. Terbiyeyi hazırlayın ve çorbaya ekleyin. Maydanozu ekleyin ve servis edin.
Valide Sultan Çorbası,çorba,pirinç bulgur hazır garnitür su tuz kıyma soğan galeta unu yoğurt un tereyağı kuru nane,"Pirinç ve bulguru yıkayıp, suyunu süzün. Derin bir tencere içine pirinç ve bulguru koyun. Üzerine 2 litreye yakın su döküp, ocak üzerinde kaynamaya bırakın. Kaynamaya başlayınca ocağın altını kısın. Kısık ateş üzerinde pirinç ve bulgurlar yumuşayana kadar pişirin. Küçük bir kaba 150 gr kıyma koyun. Üzerine rendelenmiş 1 adet küçük boy soğan, 1 yemek kaşığı galeta unu ve tuz ekleyin. Eliniz ile iyice yoğurun. Daha sonra kıymalı harçtan nohut büyüklüğünde parçalar alıp, elinizde yuvarlayın. Ardından hazırladığınız minik köfteleri sıvı yağ içerisinde hafifçe kızartın. Daha sonra 1 su bardağı hazır garnitürü süzgeç içerisinde yıkayıp, süzün. Pişen pirinç ve bulgurların üzerine garnitürü koyun. Ardından kızarttığınız köfteleri ekleyin. Karıştırıp, kaynamaya bırakın. Çorbanın terbiyesi için; bir kaba 1 buçuk su bardağı yoğurt ve 1 buçuk yemek kaşığı un koyup, iyice karıştırın. Ardından kaynayan çorba suyundan 1 kepçe kadar su alın. Terbiyenin içine koyup, karışımın ılınmasını sağlayın. Daha sonra yoğurtlu terbiyeyi çorbanın içine azar azar döküp, karıştırın. Son olarak damak tadınıza göre tuz ekleyip, çorbayı 3-4 dakika kadar daha kaynamaya bırakın. Çorbanın kıvamı koyu ise azar azar su ekleyerek, kıvamı açabilirsiniz. Son olarak küçük bir tava içine 1 tatlı kaşığı tereyağı ve 1 tatlı kaşığı kuru nane koyun. Ocak üzerine koyup, kokusu çıkana kadar kızdırın. Ardından çorbanın üzerine gezdirin. Kepçe yardımı ile karıştırın."
Yoğurtlu Semizotu Çorbası,çorba,semizotu bulgur soğan zeytinyağı su tuz yoğurt yumurta sarısı un limon suyu,"Semizotunu temizleyip, iyice yıkayın. Ardından bıçak ile ince ince kıyın. Orta boy derin bir tencere içine 1 adet ince ince doğranmış soğan koyun. Üzerine 3 yemek kaşığı zeytinyağı döküp, 2-3 dakika kadar kavurun. Kavurduğunuz soğanların üzerine doğranmış semizotunu ekleyin. Semizotunu 1-2 dakika kadar kavurun. Daha sonra tencereye 3 yemek kaşığı kalın bulgur koyun. 5 su bardağı kadar da ılık su dökün. Orta ateş üzerinde bulgurlar yumuşayana kadar pişirin. Diğer tarafta terbiyesi için; çukur bir kaba 1 su bardağı yoğurt koyun. Üzerine 1 adet yumurta sarısı, 1 tatlı kaşığı un ve yarım limon suyu ekleyin. Çırpıcı yardımı ile iyice karıştırarak, pürüzsüz bir kıvam elde edin. Daha sonra kaynayan çorba suyundan 1-2 kepçe alıp, terbiyeye koyun. Terbiyeyi hızlı karıştırarak, ılımasını sağlayın. Ardından yoğurtlu terbiyeyi çorba içine azar azar döküp, hızlı bir şekilde karıştırın. Kesilme yapmaması için kaynayana kadar sürekli karıştırarak, pişirin. Hazırladığınız yoğurtlu semizotu çorbasının içine damak tadınıza göre tuz ekleyip, karıştırın."
Artan Pilavdan Çorba,çorba,yoğurt yumurta sarısı un su pirinç pilavı tuz tereyağı kuru nane,"Orta boy derin bir tencere içine 1 buçuk su bardağı yoğurt, 1 adet yumurta sarısı ve 2 yemek kaşığı un koyun. Tüm malzemelerin iyice karışmasını sağlayın. Karışımın üzerine 7 su bardağı suyu azar azar döküp, bir yandan da güzelce karıştırın. Tencereye 2 su bardağı pirinç pilavı ekleyip, iyice karıştırın. Tencereyi ocak üzerine alın. Çorba kaynayana kadar sürekli karıştırarak, pişirin. Çorbanız piştikten sonra damak tadınıza göre tuz ekleyip, karıştırın. Çorbanın kıvamı koyu ise azar azar sıcak su ekleyip, kıvamı ayarlayabilirsiniz. Çorbanın üzeri için; küçük bir sos tavasına 1 yemek kaşığı dolusu tereyağı koyup, eritin. Eriyen yağın üzerine 1 yemek kaşığı dolusu kuru nane ekleyip, hafifçe kızdırın. Kızdırdığınız naneli karışımı çorbanın üzerine döküp, karıştırın."
Brüksel Lahanası Çorbası,çorba,brüksel lahanası zeytinyağı un süt su Karabiber Tuz,"Brüksel lahanasının sap kısımlarını kesip, ilk kattaki yapraklarını kopartın. Lahanaları güzelce yıkayıp, her birini dörde kesin. Orta boy derin bir tencere içine 5-6 yemek kaşığı zeytinyağı döküp, ısıtın. Isınan yağın üzerine kestiğiniz brüksel lahanalarını ekleyip, 3-4 kere karıştırın. Kısık ateş üzerinde brüksel lahanaları renk değiştirip, hafifçe yumuşayana kadar ara ara karıştırarak kavurun. Hafifçe yumuşayan lahanaların üzerine 1 yemek kaşığı un koyup, 1 dakika kadar kavurun. Daha sonra sebzelerin üzerine 4 buçuk su bardağı su döküp, güzelce karıştırın. Ardından kaynamaya bırakın. Kaynadıktan sonra kısık ateş üzerinde lahanalar iyice yumuşayana kadar pişirin. Lahanalar iyice yumuşadıktan sonra çorbayı pürüzsüz bir kıvam alana kadar blenderdan geçirin. Son olarak brüksel lahanası çorbasının içine 1 su bardağı süt döküp, güzelce karıştırın. Damak tadınıza göre tuz ve karabiber ekleyip, 1-2 taşım kaynatın. Ardından ocağın altını kapatın."
Etli Bamya Çorbası,çorba,taze bamya kuşbaşı doğranmış et küçük boy kuru soğan orta boy domates sarıkmsak domates salçası biber salçası tere yağı zeytinyağı limon suyu sıcak su tuz karabiber,"Ayıkladığınız taze bamyaları güzelce yıkayın. Yapışkan sıvı salmasını önlemek için bamyaları derin bir kaba koyun. Üzerlerine geçecek kadar su koyun. Ardından suyun içine 1 adet limon suyu sıkıp, çok az tuz ekleyip, bu şekilde bekletin. Daha sonra orta boy derin bir tencereyi ocak üzerine alıp, iyice ısıtın. Isınan tencereye 200 gr küçük kuşbaşı doğranmış eti koyun. Etlerin rengi dönüp, suyunu salana kadar sürekli karıştırarak, kavurun. Ardından etlerin üzerini hafifçe geçecek kadar su döküp, kaynamaya bırakın. Kaynadıktan sonra kısık ateş üzerinde etler suyunu çekip, yumuşayana kadar pişirin. Daha sonra pişen etlerin üzerine 1 adet küçük boy ince ince doğranmış soğan, 1 yemek kaşığı tereyağı ve 2 yemek kaşığı zeytinyağı ekleyin. Soğanlar yumuşayana kadar sürekli karıştırarak, kavurun. Daha sonra tencereye 1 yemek kaşığı domates salçası, yarım yemek kaşığı biber salçası ve 2 diş ince ince doğranmış sarımsak koyun. Salçaların kokusu çıkana kadar sürekli karıştırarak, kavurun. Ardından tencereye 1 adet orta boy rendelenmiş domates ekleyin. 1 dakika daha kavurmaya devam edin. Daha sonra tencereye suyunu süzdüğünüz bamyaları koyun. Bamyaların üzerine 1 litre sıcak su dökün. Su miktarını isteğe göre azaltabilirsiniz. Son olarak etli bamya çorbasına yarım limon suyu sıkın. Limon miktarını da isteğe göre arttırabilirsiniz. Damak tadınıza göre tuz ve karabiber ekleyin. Çorbayı 1-2 kere karıştırıp, kaynamaya bırakın. Çorbanız kaynadıktan sonra kısık ateş üzerinde bamyalar yumuşayana kadar pişirin."
Havuç Çorbası,çorba,havuç patates soğan tereyağı un süt su karabiber tuz dereotu,"Havuç, patates ve soğanı soyup rendeleyin. Tencereye tereyağı koyup eritin. Unu ekleyip kavurun. Soğanı ekleyip 2 dakika kavurun. Havuç ve patatesi ekleyip kavurun. Su ekleyip kaynatın. Kısık ateşte sebzeler yumuşayana kadar pişirin. Blenderdan geçirin. Süt ekleyip karıştırın. Tuz ve karabiber ekleyip kaynatın. Dereotu ekleyip karıştırın."
Havuçlu Mantar Çorbası,çorba,kültür mantarı havuç soğan sarıkmsak tere yağı zeytinyağı un tavuk suyu su süt dereotu tuz karabiber,"Mantarların kabuğunu soyup, nemli bir bez ile temizleyin. Havuçların kabuğunu soyun. Mantarları ve havuçları minik küpler şeklinde doğrayın. Soğanı ince ince doğrayın. Tereyağı ve zeytinyağıyı ısıtıp, soğanları ekleyin. Soğanların üzerine havuçları koyun. Havuçları da çok hafif yumuşayana kadar kavurun. Tencereye doğranmış mantarları ve sarımsağı ekleyin. Mantarları suyunu salıp, çok hafif çekene kadar kavurun. Unu ekleyin ve kavurmaya devam edin. Tavuk suyu ve suyu ekleyin. Çorbayı ara ara karıştırarak, kaynamaya bırakın. Kaynadıktan sonra 10 dakika kadar pişirin. Sütü ekleyin ve karıştırın. Tuz, karabiber ve dereotu ekleyin. 1-2 taşım kaynatın. Kıvamını ayarlayın ve servis edebilirsiniz."
Helle Çorbası,çorba,un tere yağı sıvı yağ pirinç su tuz kırmızı toz biber,"Tencereye tereyağı ve sıvı yağ koyun, karıştırın. Un ekleyin, kavurun. Su dökün, kaynatın. Pirinç ve tuz ekleyin, 15-20 dakika pişirin. Üzerine tereyağı ve kırmızı toz biber karışımı dökün."
İpek Çorbası,çorba,kırmızı mercimek tavuk göğsü kırmızı kapya biber havuç patates tavuk suyu süt un sıvı yağ tuz tereyağı kuru naen kırmızı kapya biber,"1 adet kırmızı kapya biber, 1 adet havuç ve 1 adet patatesi çok küçük olmayacak şekilde kesin. Daha sonra haşladığınız tavuk etini suyundan alıp, soğumaya bırakın. Ardından tavuk etlerini ince ince parçalara ayırın. Mercimek ve sebzeler yumuşadıktan sonra ocak üzerinden alın. Pürüzsüz bir kıvam alana kadar blenderdan geçirin. Çorbayı yapacağınız tencere içerisine 2 yemek kaşığı sıvı yağ ve 1 yemek kaşığı un koyun. Unun kokusu çıkana kadar kavurun. Kavrulan unun üzerine 1 su bardağı süt ve 2 su bardağı tavuk suyu ekleyip, iyice karıştırın. Ardından tencereye blendırdan geçirdiğiniz mercimekli karışımı da ekleyin. 1-2 kere karıştırıp, kaynamaya bırakın. Kaynamaya başladıktan sonra kısık ateş üzerinde 10 dakika daha pişirin. Çorbanın kıvamı koyu ise üzerine sıcak tavuk suyu ya da su ekleyip, kıvamı açabilirsiniz. Son olarak ipek çorbasının üzerine parçalara ayırdığınız tavuk etlerini ve damak tadınıza göre tuz koyun. Çorbayı 1-2 taşım daha kaynatıp, ocağın altını kapatın."
Kavrulmuş Tarhana Çorbası,çorba,toz tarhana tere yağı domates salçası biber salçası sarımsak su kırmızı pul biber kuru nane tuz,"Tencereye tereyağı koyup eritmek Sarımsak ekleyip 2-3 kere çevirmek Domates ve biber salçası ekleyip kavurmak Tarhana ekleyip 2 dakika kavurmak Su ekleyip karıştırarak kaynatmak Tuz, kuru nane ve kırmızı pul biber ekleyip karıştırmak"
Köfteli Şehriye Çorbası,çorba,arpa şehriye dolusudomates salçası sıvı yağ domates su tuz kıyma karabiber maydanoz,"Bir kaba 150 gr kıyma koyun. Damak tadınıza göre tuz ve karabiber ekleyin. Köfteli harcı eliniz ile iyice yoğurun. Yoğurduğunuz köfteli harçtan küçük parçalar alıp, elinizde yuvarlayın. Bir tencere içine 3-4 yemek kaşığı sıvı yağ dökün. Üzerine 1 tatlı kaşığı dolusu domates salçası koyup, salçanın kokusu çıkana kadar kavurun. Kavrulan salçanın üzerine 2 adet orta boy rendelenmiş domates ekleyin. Domatesi 2 dakika kadar ara ara karıştırarak, pişirin. Daha sonra tencereye 4 su bardağı su döküp, kaynamaya bırakın. Çorba suyu kaynadıktan sonra pürüzsüz bir kıvam alması için blenderdan geçirin. Ardından çorba suyunun içine yarım çay bardağı arpa şehriye koyun. Hazırladığınız minik köfteleri de ekleyip, karıştırın. Arpa şehriyeler ve köfteler yumuşayana kadar ara ara karıştırarak, pişirin. Köfteli şehriye çorbası piştikten sonra üzerine damak tadınıza göre tuz ve 1 tutam ince ince doğranmış maydanoz serpiştirip, karıştırın."
Közlenmiş Patlıcan Çorbası,çorba,patlıcan tere yağı zeytinyağı un sarımsak süt su tuz karabiber kırmızı pul biber,"Patlıcanları fırın tepsisine koyun, delikler açın, 220 derece fırında 30 dakika közleyin. Patlıcanları fırından çıkartıp, kenarda ılımaya bırakın. Patlıcanların kabuğunu soyun, ince ince doğrayın. Tencereye tereyağı, zeytinyağı, un koyup, ısıtın, karıştırın. Kavrulan una patlıcan, sarımsak ekleyin, 2 dakika kavurun. Süt, su ekleyin, karıştırın, kaynatın. Blenderdan geçirin, tuz, karabiber ekleyin. Tereyağı, kırmızı pul biber karışımını üzeri için hazırlayın."
Kuskus Çorbası,çorba,kuskus makarna kuru soğan kıyma sıvı yağ domates salçası su tuz pulbiber nane,"Derin bir tencere içine 1 adet ince ince doğranmış soğan ve 2-3 yemek kaşığı sıvı yağ ekleyin. Soğanı 2 dakika kadar kavurun. Kavrulan soğanın üzerine 100 gr kıyma koyun. Kıyma suyunu salıp, çekene kadar sürekli karıştırarak, pişirin. Daha sonra pişen kıymanın üzerine 1 yemek kaşığı domates salçası, damak tadınıza göre kırmızı pul biber, nane ve tuz ekleyin. Kıymalı harcı salça ve baharatlar ile biraz kavurun. Ardından tencereye 7 su bardağı sıcak su döküp, karıştırın. Çorba kaynamaya başladıktan sonra içine 1 su bardağından 1 parmak az kuskus makarna koyup, karıştırın. Kuskuslar yumuşayıncaya kadar ara ara karıştırarak, pişirin. Çorbanın kıvamı koyu olursa üzerine sıcak su döküp, kıvamı açabilirsiniz. Kuskus çorbası piştikten sonra servis kaselerine koyun. Üzerlerine ince ince doğranmış maydanoz serpiştirip, servis edebilirsiniz."
